id,name,serviceGroup,department,description,tags,unit,price,minPrice,officialWarranty,clinicWarranty,origin,avgTreatmentMinutes,avgTreatmentSessions,archivedAt,createdAt,updatedAt,createdById,updatedById
a36fdf16-a1f2-4010-a945-65dfbea10b1a,Điều trị tuỷ răng hàm lớn file tay,Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,1000000,,,,,,,,2018-10-24 17:03:23+00,2025-08-26 02:19:20.48+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
0b246565-6051-4b65-b8ae-c9bf0b1587b4,"Điều trị tuỷ lại răng cửa, nanh file máy",Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,1000000,,,,,,,,2018-10-20 17:00:02+00,2025-08-26 02:19:34.669+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
4381a870-9ce9-45ef-87c2-97a88c7b6319,Điều trị tuỷ lại răng hàm nhỏ file máy,Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,1000000,,,,,,,,2018-10-20 17:00:05+00,2025-08-26 02:19:42.777+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
b06f9991-b937-41fb-af96-4efba6c072e4,Điều trị tuỷ lại răng hàm lớn file máy,Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,2000000,,,,,,,,2018-10-20 17:00:06+00,2025-08-26 02:19:49.471+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
b3b0615e-be96-4321-801e-07f16f611427,Điều trị tủy theo phương pháp mới,Điều trị tuỷ răng vĩnh viễn,Nội nha,,,Răng,500000,,,,,,,,2018-10-20 17:00:04+00,2025-08-26 02:19:58.59+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
eca87d38-f37b-4d2b-b83f-0efd3bf5c48a,Cắm chốt kim loại,Cắm chốt nội tuỷ,Nội nha,,,Chốt,500000,,,,,,,,2018-10-20 17:03:05+00,2025-08-24 04:18:33.296+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
f14a57d2-4e91-4f10-859b-126d9010664a,Cắm chốt thạch anh,Cắm chốt nội tuỷ,Nội nha,,,Chốt,1000000,,,,,,,,2018-10-20 17:03:06+00,2025-08-24 04:18:55.029+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
de9bd2be-7fa6-4ac9-991c-ebc36a26bba8,Chốt đúc kim loại,Cắm chốt nội tuỷ,Nội nha,,,Chốt,1000000,,,,,,,,2018-10-20 17:03:07+00,2025-08-24 04:19:10.846+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
70c8b315-56f4-4b2f-8fce-de358f56d453,Cắt lợi đơn thuần,Cắt lợi,Nha chu,,,Răng,500000,,,,,,,,2018-10-20 17:03:08+00,2025-08-24 04:19:36.411+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
21641474-6418-45e1-a550-f54f7d1e409b,Chữa cười hở lợi,Cắt lợi,Nha chu,,,1 Hàm,15000000,,,,,,,,2018-10-20 17:03:09+00,2025-08-24 04:20:04.066+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
3632fb21-6ce9-4de9-9178-940484290637,Nạo nha chu,,,,,Răng,500000,,,,,,,,2018-10-20 17:00:01+00,2018-10-20 17:00:01+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
b1a5c922-40d5-4e60-bee1-54815f30e85f,Phẫu thuật làm dài thân răng,,,,,Răng,0,,,,,,,,2018-10-20 17:00:01+00,2018-10-20 17:00:01+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
39e879f0-7533-4d80-8205-2c0e3c8eeb18,Phẫu thuật làm dài thân răng 1,,,,,Răng,1500000,,,,,,,,2018-10-20 17:03:10+00,2018-10-20 17:03:10+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
550b35e0-bcd5-4134-aeab-32733b6560b4,Phẫu thuật nạo túi lợi,,,,,Răng,500000,,,,,,,,2018-10-20 17:02:09+00,2018-10-20 17:02:09+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
f0733eaa-b440-430d-ad9e-550d5422151d,Nhổ răng sữa bôi tê,Nhổ răng sữa,Tiểu phẫu,,,Răng,10000,,,,,,,,2018-10-20 17:01:06+00,2025-08-26 02:14:05.723+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
9cd935bf-0c1b-4f40-a339-1e8f7063a90a,Nhổ răng sữa tiêm tê,Nhổ răng sữa,Tiểu phẫu,,,Răng,50000,,,,,,,,2018-10-20 17:01:07+00,2025-08-26 02:13:56.569+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
3d79df6e-f4cd-477f-a3ef-f0d8741f9900,Nhổ răng lung lay độ 3 - 4,Nhổ răng thường,Tiểu phẫu,,,Răng,200000,,,,,,,,2018-10-20 17:01:08+00,2025-08-26 02:21:25.901+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
edcc2755-6b6a-45ac-96ee-8a466d1d992e,Nhổ răng lung lay người già > 70 tuổi,Nhổ răng thường,Tiểu phẫu,,,Răng,50000,,,,,,,,2018-10-20 17:01:13+00,2025-08-26 02:11:28.637+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
f32f6d68-523a-45c4-9f90-ae30ca021023,"Nhổ răng cửa, răng hàm nhỏ",Nhổ răng thường,Tiểu phẫu,,,Răng,400000,,,,,,,,2018-10-20 17:01:09+00,2025-08-26 02:11:03.572+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
de29c14e-95fc-497b-97fa-b9bc9b608809,"Nhổ chân răng cửa, nanh, hàm nhỏ",Nhổ răng thường,Tiểu phẫu,,,Răng,500000,,,,,,,,2018-10-20 17:01:10+00,2025-08-26 02:11:21.762+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
9d1dd387-4727-4908-82b6-d516c9c554ed,Nhổ răng hàm lớn,Nhổ răng thường,Tiểu phẫu,,,Răng,700000,,,,,,,,2018-10-20 17:01:11+00,2025-08-26 02:10:57.832+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
8ca2d354-110a-4230-921d-4e1c601e3527,Nhổ chân răng hàm lớn,Nhổ răng thường,Tiểu phẫu,,,Răng,800000,,,,,,,,2018-10-20 17:01:12+00,2025-08-26 02:11:09.747+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
098b0b24-e378-4d94-80e9-fcf75ee62d2b,"Nhổ răng thừa, răng lạc chỗ",Nhổ răng thường,Tiểu phẫu,,,Răng,3000000,,,,,,,,2018-10-27 17:01:30+00,2025-08-26 02:11:15.844+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
412fa0dc-5957-47e5-8a94-8fe3316ecc2d,Nhổ răng khôn hàm dưới lung lay độ 3 - 4,Nhổ răng khôn,Tiểu phẫu,,,Răng,300000,,,,,,,,2018-10-20 17:00:28+00,2025-08-26 01:54:28.167+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
4cbb49f3-d0e3-4700-bbb3-b298b40653d8,Nhổ răng khôn hàm dưới độ 1,Nhổ răng khôn,Tiểu phẫu,,,Răng,1000000,,,,,,,,2018-10-20 17:00:29+00,2025-08-26 01:54:41.21+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
